source_image,target_image,pose_error_norm,pose_best_output,expression_sim,expression_best_output,id_similarity,id_best_output,valid_outputs,total_outputs
/storage/users/multicog/mehul/RealismGuidance/data/source/29777.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/06197.jpg,0.0072,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/29777__06197/n08/img/29777__06197__final__s05.png,0.9611,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/29777__06197/n08/img/29777__06197__final__s03.png,0.5095,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/29777__06197/n08/img/29777__06197__final__s06.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/10146.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/24544.jpg,0.0581,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10146__24544/n08/img/10146__24544__final__s02.png,0.991,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10146__24544/n08/img/10146__24544__final__s06.png,0.2603,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10146__24544/n08/img/10146__24544__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/17501.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/03158.jpg,0.1116,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/17501__03158/n08/img/17501__03158__final__s02.png,0.9928,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/17501__03158/n08/img/17501__03158__final__s07.png,0.2884,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/17501__03158/n08/img/17501__03158__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/15555.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/25606.jpg,0.0546,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/15555__25606/n08/img/15555__25606__final__s02.png,0.9451,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/15555__25606/n08/img/15555__25606__final__s06.png,0.2626,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/15555__25606/n08/img/15555__25606__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/21234.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/12203.jpg,0.0395,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/21234__12203/n08/img/21234__12203__final__s05.png,0.9474,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/21234__12203/n08/img/21234__12203__final__s05.png,0.2703,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/21234__12203/n08/img/21234__12203__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/02567.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/17865.jpg,0.0411,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/02567__17865/n08/img/02567__17865__final__s04.png,0.985,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/02567__17865/n08/img/02567__17865__final__s05.png,0.5043,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/02567__17865/n08/img/02567__17865__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/01930.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/21513.jpg,0.0577,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/01930__21513/n08/img/01930__21513__final__s01.png,0.9955,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/01930__21513/n08/img/01930__21513__final__s04.png,0.3897,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/01930__21513/n08/img/01930__21513__final__s01.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/24376.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/17568.jpg,0.0946,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/24376__17568/n08/img/24376__17568__final__s04.png,0.987,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/24376__17568/n08/img/24376__17568__final__s03.png,0.4261,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/24376__17568/n08/img/24376__17568__final__s05.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/11437.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/10208.jpg,0.0462,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/11437__10208/n08/img/11437__10208__final__s05.png,0.9714,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/11437__10208/n08/img/11437__10208__final__s03.png,0.1773,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/11437__10208/n08/img/11437__10208__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/29866.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/05681.jpg,0.6355,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/29866__05681/n08/img/29866__05681__final__s01.png,0.9963,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/29866__05681/n08/img/29866__05681__final__s00.png,0.3136,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/29866__05681/n08/img/29866__05681__final__s01.png,8,8
