source_image,target_image,pose_error_norm,pose_best_output,expression_sim,expression_best_output,id_similarity,id_best_output,valid_outputs,total_outputs
/storage/users/multicog/mehul/RealismGuidance/data/source/11437.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/10208.jpg,0.0557,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/11437__10208/n08/img/11437__10208__final__s07.png,0.9602,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/11437__10208/n08/img/11437__10208__final__s04.png,0.1696,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/11437__10208/n08/img/11437__10208__final__s01.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/29866.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/05681.jpg,0.6326,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/29866__05681/n08/img/29866__05681__final__s07.png,0.9941,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/29866__05681/n08/img/29866__05681__final__s03.png,0.4639,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/29866__05681/n08/img/29866__05681__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/10505.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/24336.jpg,0.0271,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10505__24336/n08/img/10505__24336__final__s01.png,0.9936,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10505__24336/n08/img/10505__24336__final__s04.png,0.1807,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10505__24336/n08/img/10505__24336__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/19640.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/25536.jpg,0.0344,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19640__25536/n08/img/19640__25536__final__s04.png,0.9981,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19640__25536/n08/img/19640__25536__final__s04.png,0.33,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19640__25536/n08/img/19640__25536__final__s07.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/03211.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/09989.jpg,0.0824,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03211__09989/n08/img/03211__09989__final__s05.png,0.9927,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03211__09989/n08/img/03211__09989__final__s06.png,0.2729,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/03211__09989/n08/img/03211__09989__final__s07.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/15392.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/28995.jpg,0.0925,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/15392__28995/n08/img/15392__28995__final__s02.png,0.9829,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/15392__28995/n08/img/15392__28995__final__s01.png,0.3192,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/15392__28995/n08/img/15392__28995__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/28436.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/23645.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/28436__23645/n08/img/28436__23645__final__s00.png,0.9884,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/28436__23645/n08/img/28436__23645__final__s01.png,0.2927,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/28436__23645/n08/img/28436__23645__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/20413.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/10399.jpg,0.1994,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/20413__10399/n08/img/20413__10399__final__s02.png,0.9967,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/20413__10399/n08/img/20413__10399__final__s01.png,0.5912,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/20413__10399/n08/img/20413__10399__final__s05.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/23239.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/21334.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/23239__21334/n08/img/23239__21334__final__s00.png,0.9988,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/23239__21334/n08/img/23239__21334__final__s04.png,0.7162,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/23239__21334/n08/img/23239__21334__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/06509.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/02712.jpg,0.1123,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/06509__02712/n08/img/06509__02712__final__s05.png,0.9934,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/06509__02712/n08/img/06509__02712__final__s05.png,0.3054,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/06509__02712/n08/img/06509__02712__final__s05.png,8,8
